,Real,Synthetic,Diff (Synth-Real)
mean,0.00047562633282344045,0.0004978709787558251,2.2244645932384605e-05
std,0.012720472158568882,0.00835927746576063,-0.004361194692808252
skew,-0.630666762871423,0.6131955109323791,1.243862273803802
kurtosis_excess,14.682912557100405,29.790686427591424,15.10777387049102
JB_stat,16136.97336049687,66067.915026002,49930.941665505125
JB_p,0.0,0.0,0.0
Q1,-0.03525819711387158,-0.03651107918471098,-0.0012528820708394006
Q5,-0.018567724898457528,-0.005202898872084915,0.013364826026372612
Q50,0.0008841069065965712,0.0008200985030271113,-6.400840356945992e-05
Q95,0.016767041757702817,0.0064095518086105556,-0.01035748994909226
Q99,0.03011531412601471,0.017025040425360093,-0.013090273700654617
VaR_95,-0.018567724898457528,-0.005202898872084915,0.013364826026372612
VaR_99,-0.03525819711387158,-0.03651107918471098,-0.0012528820708394006
ES_95,-0.031159928834272755,-0.021138895054658255,0.0100210337796145
ES_99,-0.05480323856075605,-0.0463402159512043,0.00846302260955175
acf1_returns,-0.1557378126886435,0.35082176759505374,0.5065595802836973
acf1_abs_returns,0.370722646135101,0.5945332800864351,0.22381063395133416
LB_Q_ret_lag10,232.00418580643557,428.44757659283005,196.44339078639447
LB_p_ret_lag10,3.263524955441927e-44,8.22616270802055e-86,-3.263524955441927e-44
LB_Q_abs_lag10,2145.2462498127634,1948.9065375005475,-196.33971231221585
LB_p_abs_lag10,0.0,0.0,0.0
